"transab_cat","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1998","in school","East Germany","4","","","","3"
"High transfer dependency","1998","inadequately","West Germany","18","","","","3"
"High transfer dependency","1998","in school","West Germany","5","","","","3"
"High transfer dependency","1998","inadequately","East Germany","1","","","","3"
"High transfer dependency","1998","general elemantary","East Germany","14","","","","3"
"High transfer dependency","1998","higher vocational","East Germany","5","","","","3"
"High transfer dependency","1998","higher education","West Germany","10","","","","3"
"High transfer dependency","1998","higher education","East Germany","20","","","","3"
"High transfer dependency","1998","middle vocational","West Germany","70","0.0142212820570002","0.0109064247846558","0.0175361393293446","3"
"High transfer dependency","1998","higher vocational","West Germany","8","","","","3"
"High transfer dependency","1998","middle vocational","East Germany","84","0.0369157059909015","0.0287988810505045","0.0450325309312985","3"
"High transfer dependency","1998","vocational + Abi","West Germany","14","","","","3"
"High transfer dependency","1998","vocational + Abi","East Germany","1","","","","3"
"Low transfer dependency","1998","higher education","East Germany","85","0.0855608102996262","0.0668007592781273","0.104320861321125","2"
"Low transfer dependency","1998","in school","West Germany","12","","","","2"
"Low transfer dependency","1998","in school","East Germany","8","","","","2"
"Low transfer dependency","1998","inadequately","West Germany","47","0.101352373603831","0.0727941544043116","0.12991059280335","2"
"Low transfer dependency","1998","inadequately","East Germany","1","","","","2"
"Low transfer dependency","1998","general elemantary","West Germany","158","0.0512270725766376","0.0419190942169313","0.0605350509363438","2"
"Low transfer dependency","1998","general elemantary","East Germany","42","0.0780958887876825","0.051010543419209","0.105181234156156","2"
"Low transfer dependency","1998","middle vocational","West Germany","246","0.0415000863004011","0.0359163322728102","0.0470838403279919","2"
"Low transfer dependency","1998","middle vocational","East Germany","301","0.135049159933617","0.120336537297782","0.149761782569452","2"
"Low transfer dependency","1998","vocational + Abi","West Germany","27","","","","2"
"Low transfer dependency","1998","vocational + Abi","East Germany","10","","","","2"
"Low transfer dependency","1998","higher vocational","West Germany","15","","","","2"
"Low transfer dependency","1998","higher vocational","East Germany","17","","","","2"
"Low transfer dependency","1998","higher education","West Germany","39","0.0336219758672552","0.022950414831414","0.0442935369030963","2"
"No transfer dependency","1998","general elemantary","West Germany","950","0.547425119103725","0.526409991207145","0.568440247000305","0"
"No transfer dependency","1998","general elemantary","East Germany","135","0.510053781492816","0.459592345310078","0.560515217675554","0"
"No transfer dependency","1998","middle vocational","West Germany","2201","0.519756353850476","0.505768971161471","0.533743736539481","0"
"No transfer dependency","1998","middle vocational","East Germany","701","0.40487663715109","0.383745965653951","0.426007308648229","0"
"No transfer dependency","1998","vocational + Abi","West Germany","175","0.433919692827889","0.387452003598034","0.480387382057745","0"
"No transfer dependency","1998","higher education","East Germany","258","0.395633192517966","0.362837574594847","0.428428810441085","0"
"No transfer dependency","1998","in school","West Germany","8","","","","0"
"No transfer dependency","1998","in school","East Germany","1","","","","0"
"No transfer dependency","1998","inadequately","West Germany","110","0.264219667190626","0.222496611930128","0.305942722451125","0"
"No transfer dependency","1998","inadequately","East Germany","5","","","","0"
"No transfer dependency","1998","vocational + Abi","East Germany","18","","","","0"
"No transfer dependency","1998","higher vocational","West Germany","236","0.476608618204671","0.435926548616522","0.517290687792821","0"
"No transfer dependency","1998","higher vocational","East Germany","87","0.467790973197532","0.404400112393853","0.531181834001211","0"
"No transfer dependency","1998","higher education","West Germany","498","0.519047704894877","0.489467753759461","0.548627656030293","0"
"Very high transfer dependency","1998","in school","West Germany","4","","","","4"
"Very high transfer dependency","1998","in school","East Germany","1","","","","4"
"Very high transfer dependency","1998","inadequately","West Germany","22","","","","4"
"Very high transfer dependency","1998","inadequately","East Germany","1","","","","4"
"Very high transfer dependency","1998","general elemantary","West Germany","33","0.0153771717233265","0.0101820271692999","0.0205723162773532","4"
"Very high transfer dependency","1998","general elemantary","East Germany","11","","","","4"
"Very high transfer dependency","1998","middle vocational","West Germany","55","0.0112788280299413","0.00832235008024969","0.0142353059796328","4"
"Very high transfer dependency","1998","middle vocational","East Germany","55","0.0343371228538157","0.0264984388158905","0.0421758068917408","4"
"Very high transfer dependency","1998","vocational + Abi","West Germany","5","","","","4"
"Very high transfer dependency","1998","higher education","East Germany","10","","","","4"
"Very high transfer dependency","1998","vocational + Abi","East Germany","3","","","","4"
"Very high transfer dependency","1998","higher vocational","West Germany","2","","","","4"
"Very high transfer dependency","1998","higher vocational","East Germany","4","","","","4"
"Very high transfer dependency","1998","higher education","West Germany","11","","","","4"
"Very low transfer dependency","1998","in school","East Germany","92","0.869267605837144","0.805393540637407","0.933141671036882","1"
"Very low transfer dependency","1998","inadequately","West Germany","223","0.504240160434426","0.456927885339283","0.55155243552957","1"
"Very low transfer dependency","1998","inadequately","East Germany","6","","","","1"
"Very low transfer dependency","1998","general elemantary","West Germany","930","0.350470632467044","0.33032644910898","0.370614815825107","1"
"Very low transfer dependency","1998","higher vocational","East Germany","124","0.437331768235143","0.374309892747678","0.500353643722607","1"
"Very low transfer dependency","1998","higher education","West Germany","531","0.420656100658432","0.391429747429418","0.449882453887447","1"
"Very low transfer dependency","1998","higher education","East Germany","481","0.482154307385028","0.448641380021496","0.515667234748561","1"
"Very low transfer dependency","1998","in school","West Germany","187","0.82790412270462","0.778473129382085","0.877335116027155","1"
"Very low transfer dependency","1998","general elemantary","East Germany","166","0.329187113469031","0.28175204549366","0.376622181444403","1"
"Very low transfer dependency","1998","higher vocational","West Germany","316","0.462075753539006","0.421466410898698","0.502685096179313","1"
"Very low transfer dependency","1998","middle vocational","West Germany","2289","0.401526510622391","0.387802365216946","0.415250656027836","1"
"Very low transfer dependency","1998","middle vocational","East Germany","910","0.375078060221484","0.354236887313777","0.395919233129192","1"
"Very low transfer dependency","1998","vocational + Abi","West Germany","211","0.448207571540018","0.401580854793274","0.494834288286761","1"
"Very low transfer dependency","1998","vocational + Abi","East Germany","35","0.464841031909755","0.345413537251382","0.584268526568127","1"
"Complete transfer dependency","1999","in school","East Germany","","","","","5"
"Complete transfer dependency","1999","inadequately","West Germany","8","","","","5"
"Complete transfer dependency","1999","inadequately","East Germany","1","","","","5"
