"transab_cat","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Complete transfer dependency","1995","35-65 y.","in school","","","","","5"
"Complete transfer dependency","1995","66 and older","in school","","","","","5"
"Complete transfer dependency","1995","66 and older","inadequately","1","","","","5"
"Complete transfer dependency","1995","66 and older","general elemantary","1","","","","5"
"Complete transfer dependency","1995","66 and older","middle vocational","","","","","5"
"Complete transfer dependency","1995","66 and older","vocational + Abi","1","","","","5"
"Complete transfer dependency","1995","66 and older","higher vocational","","","","","5"
"Complete transfer dependency","1995","66 and older","higher education","","","","","5"
"Complete transfer dependency","1995","35-65 y.","inadequately","8","","","","5"
"Complete transfer dependency","1995","35-65 y.","general elemantary","10","","","","5"
"Complete transfer dependency","1995","35-65 y.","middle vocational","32","0.0144230877081901","0.0103826872387713","0.0184634881776089","5"
"Complete transfer dependency","1995","35-65 y.","vocational + Abi","1","","","","5"
"Complete transfer dependency","1995","35-65 y.","higher vocational","3","","","","5"
"Complete transfer dependency","1995","35-65 y.","higher education","4","","","","5"
"High transfer dependency","1995","16-34 y.","middle vocational","52","0.024201252460996","0.0180684568863886","0.0303340480356034","3"
"High transfer dependency","1995","16-34 y.","general elemantary","34","0.0461811570761973","0.0323223614376344","0.0600399527147603","3"
"High transfer dependency","1995","16-34 y.","vocational + Abi","4","","","","3"
"High transfer dependency","1995","16-34 y.","higher vocational","3","","","","3"
"High transfer dependency","1995","16-34 y.","inadequately","2","","","","3"
"High transfer dependency","1995","66 and older","in school","","","","","3"
"High transfer dependency","1995","66 and older","general elemantary","2","","","","3"
"High transfer dependency","1995","66 and older","middle vocational","2","","","","3"
"High transfer dependency","1995","66 and older","vocational + Abi","","","","","3"
"High transfer dependency","1995","35-65 y.","general elemantary","27","","","","3"
"High transfer dependency","1995","35-65 y.","middle vocational","65","0.0156093461725681","0.0114086030318897","0.0198100893132465","3"
"High transfer dependency","1995","66 and older","inadequately","3","","","","3"
"High transfer dependency","1995","16-34 y.","in school","9","","","","3"
"High transfer dependency","1995","16-34 y.","higher education","3","","","","3"
"High transfer dependency","1995","35-65 y.","in school","","","","","3"
"High transfer dependency","1995","35-65 y.","inadequately","15","","","","3"
"High transfer dependency","1995","35-65 y.","vocational + Abi","6","","","","3"
"High transfer dependency","1995","35-65 y.","higher education","11","","","","3"
"High transfer dependency","1995","35-65 y.","higher vocational","","","","","3"
"High transfer dependency","1995","66 and older","higher vocational","","","","","3"
"High transfer dependency","1995","66 and older","higher education","","","","","3"
"Low transfer dependency","1995","66 and older","in school","","","","","2"
"Low transfer dependency","1995","66 and older","general elemantary","9","","","","2"
"Low transfer dependency","1995","66 and older","middle vocational","5","","","","2"
"Low transfer dependency","1995","66 and older","higher vocational","","","","","2"
"Low transfer dependency","1995","66 and older","higher education","","","","","2"
"Low transfer dependency","1995","35-65 y.","in school","","","","","2"
"Low transfer dependency","1995","35-65 y.","general elemantary","74","0.0578198015935941","0.0438151868532963","0.0718244163338918","2"
"Low transfer dependency","1995","35-65 y.","middle vocational","202","0.0469744092902545","0.0398041811364493","0.0541446374440597","2"
"Low transfer dependency","1995","16-34 y.","general elemantary","62","0.0617876606577283","0.0458889617965915","0.077686359518865","2"
"Low transfer dependency","1995","16-34 y.","middle vocational","212","0.0781674067566528","0.0674547220973832","0.0888800914159224","2"
"Low transfer dependency","1995","16-34 y.","vocational + Abi","13","","","","2"
"Low transfer dependency","1995","16-34 y.","higher education","21","","","","2"
"Low transfer dependency","1995","35-65 y.","inadequately","26","","","","2"
"Low transfer dependency","1995","35-65 y.","vocational + Abi","20","","","","2"
"Low transfer dependency","1995","35-65 y.","higher vocational","16","","","","2"
"Low transfer dependency","1995","66 and older","inadequately","3","","","","2"
"Low transfer dependency","1995","66 and older","vocational + Abi","","","","","2"
"Low transfer dependency","1995","16-34 y.","in school","16","","","","2"
"Low transfer dependency","1995","16-34 y.","inadequately","8","","","","2"
"Low transfer dependency","1995","16-34 y.","higher vocational","11","","","","2"
"Low transfer dependency","1995","35-65 y.","higher education","47","0.0338143841639011","0.0230294277657843","0.044599340562018","2"
"No transfer dependency","1995","16-34 y.","in school","7","","","","0"
"No transfer dependency","1995","16-34 y.","inadequately","19","","","","0"
"No transfer dependency","1995","16-34 y.","general elemantary","189","0.284683388600222","0.254885166324345","0.314481610876098","0"
"No transfer dependency","1995","16-34 y.","middle vocational","846","0.39065927834157","0.371188262401714","0.410130294281427","0"
"No transfer dependency","1995","16-34 y.","vocational + Abi","101","0.442403222786687","0.383050421738609","0.501756023834766","0"
"No transfer dependency","1995","16-34 y.","higher vocational","91","0.591833605176048","0.525040004321409","0.658627206030687","0"
"No transfer dependency","1995","16-34 y.","higher education","179","0.516326247509519","0.468246474984436","0.564406020034603","0"
"No transfer dependency","1995","35-65 y.","in school","","","","","0"
"No transfer dependency","1995","35-65 y.","inadequately","114","0.33119265137455","0.282843565951693","0.379541736797407","0"
"No transfer dependency","1995","35-65 y.","general elemantary","498","0.558912118500896","0.529120080897885","0.588704156103907","0"
"No transfer dependency","1995","35-65 y.","middle vocational","1367","0.491416793652411","0.474475130805123","0.508358456499699","0"
"No transfer dependency","1995","35-65 y.","vocational + Abi","36","0.304125964379149","0.235771712778853","0.372480215979445","0"
"No transfer dependency","1995","35-65 y.","higher vocational","153","0.418696680617486","0.372441696846869","0.464951664388103","0"
"No transfer dependency","1995","35-65 y.","higher education","368","0.424370569650892","0.394880113335475","0.453861025966309","0"
"No transfer dependency","1995","66 and older","in school","","","","","0"
"No transfer dependency","1995","66 and older","inadequately","20","","","","0"
"No transfer dependency","1995","66 and older","general elemantary","416","0.862966586187563","0.83258042982383","0.893352742551296","0"
"No transfer dependency","1995","66 and older","middle vocational","675","0.927078525527505","0.908408026065699","0.945749024989311","0"
"No transfer dependency","1995","66 and older","vocational + Abi","20","","","","0"
"No transfer dependency","1995","66 and older","higher vocational","79","0.943536739446609","0.894177230275737","0.992896248617481","0"
"No transfer dependency","1995","66 and older","higher education","139","0.941385858378588","0.903919226175703","0.978852490581473","0"
"Very high transfer dependency","1995","35-65 y.","inadequately","7","","","","4"
"Very high transfer dependency","1995","16-34 y.","in school","3","","","","4"
"Very high transfer dependency","1995","35-65 y.","general elemantary","22","","","","4"
"Very high transfer dependency","1995","35-65 y.","middle vocational","28","","","","4"
"Very high transfer dependency","1995","35-65 y.","in school","","","","","4"
"Very high transfer dependency","1995","16-34 y.","higher vocational","5","","","","4"
"Very high transfer dependency","1995","16-34 y.","general elemantary","26","","","","4"
"Very high transfer dependency","1995","16-34 y.","middle vocational","41","0.0179456732035541","0.0126477327414004","0.0232436136657078","4"
"Very high transfer dependency","1995","16-34 y.","vocational + Abi","9","","","","4"
"Very high transfer dependency","1995","66 and older","in school","","","","","4"
"Very high transfer dependency","1995","66 and older","vocational + Abi","","","","","4"
"Very high transfer dependency","1995","16-34 y.","inadequately","5","","","","4"
"Very high transfer dependency","1995","16-34 y.","higher education","3","","","","4"
"Very high transfer dependency","1995","35-65 y.","vocational + Abi","3","","","","4"
"Very high transfer dependency","1995","35-65 y.","higher vocational","7","","","","4"
"Very high transfer dependency","1995","35-65 y.","higher education","11","","","","4"
"Very high transfer dependency","1995","66 and older","inadequately","","","","","4"
"Very high transfer dependency","1995","66 and older","general elemantary","2","","","","4"
"Very high transfer dependency","1995","66 and older","middle vocational","1","","","","4"
"Very high transfer dependency","1995","66 and older","higher vocational","","","","","4"
"Very high transfer dependency","1995","66 and older","higher education","","","","","4"
"Very low transfer dependency","1995","16-34 y.","higher education","202","0.406306577507783","0.359053283557656","0.45355987145791","1"
"Very low transfer dependency","1995","16-34 y.","in school","225","0.856008863003036","0.813658889906951","0.89835883609912","1"
"Very low transfer dependency","1995","16-34 y.","inadequately","80","0.601250731752218","0.512528405827177","0.689973057677259","1"
"Very low transfer dependency","1995","16-34 y.","general elemantary","554","0.548086791057488","0.515223403960771","0.580950178154205","1"
