"pli0089","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","2001","indirect migration background","middle vocational","","","",""
"Min 1x per month","2001","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","2001","indirect migration background","higher vocational","","","",""
"Min 1x per month","2001","indirect migration background","higher education","","","",""
"Rarely","2001","no migration background","in school","","","",""
"Rarely","2001","no migration background","inadequately","","","",""
"Rarely","2001","no migration background","general elemantary","","","",""
"Rarely","2001","no migration background","middle vocational","","","",""
"Rarely","2001","no migration background","vocational + Abi","","","",""
"Rarely","2001","no migration background","higher vocational","","","",""
"Rarely","2001","no migration background","higher education","","","",""
"Rarely","2001","direct migration background","in school","","","",""
"Rarely","2001","direct migration background","inadequately","","","",""
"Rarely","2001","direct migration background","general elemantary","","","",""
"Rarely","2001","direct migration background","middle vocational","","","",""
"Rarely","2001","direct migration background","vocational + Abi","","","",""
"Rarely","2001","direct migration background","higher vocational","","","",""
"Rarely","2001","direct migration background","higher education","","","",""
"Rarely","2001","indirect migration background","in school","","","",""
"Rarely","2001","indirect migration background","inadequately","","","",""
"Rarely","2001","indirect migration background","general elemantary","","","",""
"Rarely","2001","indirect migration background","middle vocational","","","",""
"Rarely","2001","indirect migration background","vocational + Abi","","","",""
"Rarely","2001","indirect migration background","higher vocational","","","",""
"Rarely","2001","indirect migration background","higher education","","","",""
"Never","2001","no migration background","in school","","","",""
"Never","2001","no migration background","inadequately","","","",""
"Never","2001","no migration background","general elemantary","","","",""
"Never","2001","no migration background","middle vocational","","","",""
"Never","2001","no migration background","vocational + Abi","","","",""
"Never","2001","no migration background","higher vocational","","","",""
"Never","2001","no migration background","higher education","","","",""
"Never","2001","direct migration background","in school","","","",""
"Never","2001","direct migration background","inadequately","","","",""
"Never","2001","direct migration background","general elemantary","","","",""
"Never","2001","direct migration background","middle vocational","","","",""
"Never","2001","direct migration background","vocational + Abi","","","",""
"Never","2001","direct migration background","higher vocational","","","",""
"Never","2001","direct migration background","higher education","","","",""
"Never","2001","indirect migration background","in school","","","",""
"Never","2001","indirect migration background","inadequately","","","",""
"Never","2001","indirect migration background","general elemantary","","","",""
"Never","2001","indirect migration background","middle vocational","","","",""
"Never","2001","indirect migration background","vocational + Abi","","","",""
"Never","2001","indirect migration background","higher vocational","","","",""
